"Estado"	"Datos"	"Serie"	"Lavoura"
"Rio de Janeiro"	2020-01-01	0.05	"Pneu"
"Rio de Janeiro"	2020-02-01	0.31	"Pneu"
"Rio de Janeiro"	2020-03-01	NA	"Pneu"
"Rio de Janeiro"	2020-04-01	0.03	"Pneu"
"Rio de Janeiro"	2020-05-01	-0.28	"Pneu"
"Rio de Janeiro"	2020-06-01	NA	"Pneu"
"Rio de Janeiro"	2020-07-01	0.5	"Pneu"
"Rio de Janeiro"	2020-08-01	-0.61	"Pneu"
"Rio de Janeiro"	2020-09-01	NA	"Pneu"
"Rio de Janeiro"	2020-10-01	0.68	"Pneu"
"Rio de Janeiro"	2020-11-01	-1.45	"Pneu"
"Rio de Janeiro"	2020-12-01	NA	"Pneu"
"Espírito Santo"	2020-01-01	0.29	"Pneu"
"Espírito Santo"	2020-02-01	0.55	"Pneu"
"Espírito Santo"	2020-03-01	1.05	"Pneu"
"Espírito Santo"	2020-04-01	0.63	"Pneu"
"Espírito Santo"	2020-05-01	-0.41	"Pneu"
"Espírito Santo"	2020-06-01	5.04	"Pneu"
"Espírito Santo"	2020-07-01	0.75	"Pneu"
"Espírito Santo"	2020-08-01	-1.54	"Pneu"
"Espírito Santo"	2020-09-01	2.39	"Pneu"
"Espírito Santo"	2020-10-01	0.66	"Pneu"
"Espírito Santo"	2020-11-01	-2.59	"Pneu"
"Espírito Santo"	2020-12-01	4.34	"Pneu"
"Minas Gerais"	2020-01-01	0.2	"Pneu"
"Minas Gerais"	2020-02-01	0.43	"Pneu"
"Minas Gerais"	2020-03-01	-1.1	"Pneu"
"Minas Gerais"	2020-04-01	0.7	"Pneu"
"Minas Gerais"	2020-05-01	0.61	"Pneu"
"Minas Gerais"	2020-06-01	-1.31	"Pneu"
"Minas Gerais"	2020-07-01	0.75	"Pneu"
"Minas Gerais"	2020-08-01	-0.36	"Pneu"
"Minas Gerais"	2020-09-01	-1.39	"Pneu"
"Minas Gerais"	2020-10-01	0.53	"Pneu"
"Minas Gerais"	2020-11-01	-2.51	"Pneu"
"Minas Gerais"	2020-12-01	-0.85	"Pneu"
"São Paulo"	2020-01-01	0.33	"Pneu"
"São Paulo"	2020-02-01	0.54	"Pneu"
"São Paulo"	2020-03-01	1.84	"Pneu"
"São Paulo"	2020-04-01	0.56	"Pneu"
"São Paulo"	2020-05-01	0.54	"Pneu"
"São Paulo"	2020-06-01	0.26	"Pneu"
"São Paulo"	2020-07-01	0.66	"Pneu"
"São Paulo"	2020-08-01	-0.48	"Pneu"
"São Paulo"	2020-09-01	2.09	"Pneu"
"São Paulo"	2020-10-01	0.29	"Pneu"
"São Paulo"	2020-11-01	-3.27	"Pneu"
"São Paulo"	2020-12-01	2.36	"Pneu"
