"Estado"	"Datos"	"Serie"	"Lavoura"
"Rio de Janeiro"	2018-02-01	98878	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-03-01	3579	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-04-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-05-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-06-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-07-01	287	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-08-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-09-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-10-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-11-01	798	"Cana-de-Açúcar"
"Rio de Janeiro"	2018-12-01	695	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-01-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-02-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-03-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-04-01	1165	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-05-01	634	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-06-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-07-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-08-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-09-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-10-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-11-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2019-12-01	11185	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-01-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-02-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-03-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-04-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-05-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-06-01	12916	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-07-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-08-01	52245	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-09-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-10-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-11-01	NA	"Cana-de-Açúcar"
"Rio de Janeiro"	2020-12-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2018-02-01	508997	"Cana-de-Açúcar"
"Espírito Santo"	2018-03-01	22846	"Cana-de-Açúcar"
"Espírito Santo"	2018-04-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2018-05-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2018-06-01	2	"Cana-de-Açúcar"
"Espírito Santo"	2018-07-01	96	"Cana-de-Açúcar"
"Espírito Santo"	2018-08-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2018-09-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2018-10-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2018-11-01	4623	"Cana-de-Açúcar"
"Espírito Santo"	2018-12-01	5258	"Cana-de-Açúcar"
"Espírito Santo"	2019-01-01	67	"Cana-de-Açúcar"
"Espírito Santo"	2019-02-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2019-03-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2019-04-01	11544	"Cana-de-Açúcar"
"Espírito Santo"	2019-05-01	1256	"Cana-de-Açúcar"
"Espírito Santo"	2019-06-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2019-07-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2019-08-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2019-09-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2019-10-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2019-11-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2019-12-01	28724	"Cana-de-Açúcar"
"Espírito Santo"	2020-01-01	247	"Cana-de-Açúcar"
"Espírito Santo"	2020-02-01	51	"Cana-de-Açúcar"
"Espírito Santo"	2020-03-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2020-04-01	17143	"Cana-de-Açúcar"
"Espírito Santo"	2020-05-01	NA	"Cana-de-Açúcar"
"Espírito Santo"	2020-06-01	123877	"Cana-de-Açúcar"
