"Estado"	"Datos"	"Serie"	"Lavoura"
"Rio de Janeiro"	2018-02-01	88.6	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-03-01	109	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-04-01	80.6	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-05-01	72.1	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-06-01	94	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-07-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-08-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-09-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-10-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2018-12-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-01-01	54.9	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-02-01	89.2	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-03-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-04-01	58.7	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-05-01	62.5	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-06-01	91.1	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-07-01	83.3	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-08-01	76.5	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-09-01	76.1	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-10-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2019-12-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-01-01	92.2	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-02-01	4.4	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-03-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-04-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-05-01	94.5	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-06-01	86.3	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-07-01	109.7	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-08-01	77.1	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-09-01	83.5	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-10-01	88	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"Rio de Janeiro"	2020-12-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-02-01	76.1	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-03-01	70.7	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-04-01	82.4	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-05-01	79.4	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-06-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-07-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-08-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-09-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-10-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2018-12-01	41	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-01-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-02-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-03-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-04-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-05-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-06-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-07-01	86.6	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-08-01	113.8	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-09-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-10-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2019-12-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-01-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-02-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-03-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-04-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-05-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-06-01	70.3	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-07-01	56.3	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-08-01	86.7	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-09-01	76.9	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-10-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"Espírito Santo"	2020-12-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-02-01	73.4	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-03-01	56.1	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-04-01	79	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-05-01	89.7	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-06-01	103.6	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-07-01	97	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-08-01	74.8	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-09-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-10-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2018-12-01	101.6	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-01-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-02-01	89.4	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-03-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-04-01	75.6	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-05-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-06-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-07-01	77.8	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-08-01	93.8	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-09-01	56.9	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-10-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-11-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2019-12-01	71.4	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-01-01	45.5	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-02-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-03-01	NA	"Fabricação de Borracha (Indice Anual)"
"Minas Gerais"	2020-04-01	NA	"Fabricação de Borracha (Indice Anual)"
